epoch,train_loss,val_loss,val_l1,val_l2,lr_model,lr_latent,elapsed_s
296,0.000780,0.000874,0.000751,0.000123,1.00e-04,1.00e-03,1115.8
297,0.000785,0.000821,0.000698,0.000123,1.00e-04,1.00e-03,1119.6
298,0.000786,0.000852,0.000729,0.000123,1.00e-04,1.00e-03,1123.4
299,0.000784,0.000826,0.000703,0.000123,1.00e-04,1.00e-03,1127.1
300,0.000782,0.000833,0.000711,0.000123,1.00e-04,1.00e-03,1130.9
301,0.000779,0.000828,0.000705,0.000123,1.00e-04,1.00e-03,1134.6
302,0.000782,0.000844,0.000721,0.000123,1.00e-04,1.00e-03,1138.4
303,0.000776,0.000841,0.000718,0.000122,1.00e-04,1.00e-03,1142.1
304,0.000781,0.000824,0.000702,0.000122,1.00e-04,1.00e-03,1145.9
305,0.000778,0.000839,0.000717,0.000122,1.00e-04,1.00e-03,1149.7
306,0.000777,0.000835,0.000713,0.000122,1.00e-04,1.00e-03,1153.4
307,0.000773,0.000807,0.000684,0.000122,1.00e-04,1.00e-03,1157.2
308,0.000774,0.000827,0.000705,0.000122,1.00e-04,1.00e-03,1161.0
309,0.000779,0.000845,0.000723,0.000122,1.00e-04,1.00e-03,1164.7
310,0.000768,0.000844,0.000722,0.000122,1.00e-04,1.00e-03,1168.5
311,0.000775,0.000857,0.000734,0.000122,1.00e-04,1.00e-03,1172.2
312,0.000770,0.000806,0.000684,0.000122,1.00e-04,1.00e-03,1176.0
313,0.000768,0.000836,0.000714,0.000122,1.00e-04,1.00e-03,1179.7
314,0.000771,0.000805,0.000683,0.000122,1.00e-04,1.00e-03,1183.5
315,0.000766,0.000800,0.000678,0.000122,1.00e-04,1.00e-03,1187.3
316,0.000771,0.000859,0.000737,0.000122,1.00e-04,1.00e-03,1191.0
317,0.000769,0.000840,0.000718,0.000122,1.00e-04,1.00e-03,1194.8
318,0.000771,0.000818,0.000697,0.000122,1.00e-04,1.00e-03,1198.5
